,edgerlrt,edger,deseq2
ENSG00000196998,0.206361453988188,0.206168803976164,0.183046051932707
ENSG00000276293,0.521626663195612,0.5215789671801,0.498327391773792
ENSG00000107537,-1.12760575123752,-1.12762308067045,-1.14998987440178
ENSG00000109171,-0.17366448540847,-0.174159542567214,-0.196950338135514
ENSG00000159189,-1.26049585345729,-1.26048405445724,-1.2840134494719
ENSG00000084444,-0.421021792649959,-0.424701704290167,-0.444600844159234
ENSG00000197714,-0.691977236398158,-0.699903867932958,-0.717745725248514
ENSG00000203879,0.570357119885765,0.570313848426184,0.546954890947097
ENSG00000141424,0.492117245436848,0.492185298992871,0.46898859632534
ENSG00000091542,-0.319896289697717,-0.320069044796049,-0.343515077701359
ENSG00000237149,0.514814546624539,0.510705600225967,0.492397734177742
ENSG00000185800,0.54488390724843,0.544812128530375,0.521693555429118
ENSG00000215424,0.774815983824046,0.773445718163861,0.754123205851455
ENSG00000092421,-1.15166831745961,-1.14909287242855,-1.17468386375954
ENSG00000010379,-1.64513351023432,-1.63788951406745,-1.66854029499909
ENSG00000142949,0.395877448447495,0.395839411165413,0.372409358378838
ENSG00000122042,-0.580914969153016,-0.581240239256131,-0.604607203040103
ENSG00000260802,-4.22043603426708,-3.77925375756324,-4.34178760147602
ENSG00000117533,0.253787857512338,0.253527078330882,0.230721934451039
ENSG00000166823,1.73784366073273,1.73997829093161,1.71886914660364
ENSG00000142396,0.410406067282584,0.410819127408886,0.386954338360669
ENSG00000088543,0.604251926401999,0.604030044734498,0.580909665864991
ENSG00000139579,0.771978530230917,0.771615006175716,0.748638000359231
ENSG00000161203,0.353784387644658,0.353707529642798,0.33089378894365
ENSG00000132199,-0.426439783821079,-0.426798033003478,-0.449790445920873
ENSG00000141664,-0.80737133698758,-0.807654426499363,-0.830760295245627
ENSG00000266714,0.933694522161486,0.933619597632919,0.910034355725031
ENSG00000047365,-1.00579676394776,-1.00635604089366,-1.02952216607349
ENSG00000116030,-0.254111774461936,-0.254176906316668,-0.277136011910082
ENSG00000131584,0.387202573597439,0.387094050894162,0.364080118799448
ENSG00000264364,-0.373573941052923,-0.373694777747545,-0.396854671440351
ENSG00000176393,0.352016158554624,0.351889200286417,0.328576512205755
ENSG00000140368,-0.542069907758147,-0.541757206566967,-0.56657048152275
ENSG00000073754,-5.18092644020526,-5.08050068910248,-5.21016603927136
ENSG00000222011,-0.377002315366347,-0.37977127231728,-0.399799694850184
ENSG00000155034,1.38487555535289,1.38014551221777,1.36384320056212
ENSG00000086758,0.246971798702343,0.246785381327876,0.223744663762484
ENSG00000166086,0.323951574004304,0.323796569618183,0.300645118264587
ENSG00000160959,1.29294737914115,1.29248479712837,1.26963990697462
ENSG00000111335,-0.754444358715634,-0.754361338423681,-0.777962756645331
ENSG00000186951,-0.514678896513158,-0.51474748463176,-0.537875476452484
ENSG00000168152,-0.280401577946256,-0.281749386419631,-0.303548927045581
ENSG00000003989,-1.84205660742086,-1.8417996552125,-1.8659607876086
ENSG00000113140,0.845622924977882,0.845603067481371,0.822848460024463
ENSG00000109062,0.381883710924056,0.38184086820438,0.359266974664937
ENSG00000164404,0.450818173469508,0.453382011537277,0.430677643425828
ENSG00000145332,-0.537933638763384,-0.538210749722758,-0.561302614020174
ENSG00000106477,0.962468563928657,0.963668694140445,0.93954069164205
ENSG00000132768,0.742903520923659,0.741766826399477,0.720164706907138
ENSG00000180900,1.15072209588438,1.15061095397154,1.12736803715118
ENSG00000047578,0.806015914595291,0.806641854403908,0.782917306715487
ENSG00000225630,-1.20025576391561,-1.20017382271076,-1.22389813573296
ENSG00000161955,-0.93155259980375,-0.936146928179854,-0.956085004290695
ENSG00000174238,-0.496502480602549,-0.496753313307455,-0.520465781000169
ENSG00000100345,0.35041987128082,0.350358047347826,0.326903940372933
ENSG00000108666,0.290145546385344,0.28906615540806,0.2671362933436
ENSG00000107185,0.646262083854901,0.64614352338311,0.622911453865299
ENSG00000167671,-0.245581622209111,-0.245625932955886,-0.268858024820512
ENSG00000188243,-0.395334968288245,-0.395531285633758,-0.418822120869357
ENSG00000144357,-0.365675426077991,-0.365998146521883,-0.389089512558723
