"","logFC","logCPM","LR","PValue","FDR"
"BTNL8",-2.0024270231132,2.44655437235494,196.428990442766,1.25643625539923e-44,3.88012232446076e-42
"ADRB2",-1.28995286075296,4.06777398478888,195.996021224801,1.56182701814784e-44,4.74543505933372e-42
"COMP",3.01568871876401,3.77114213808749,193.977832520826,4.30627868739608e-44,1.28764568116139e-41
"ARHGAP6",-1.06323377237423,3.67736451867377,192.124838035188,1.09279327012694e-43,3.21656869103927e-41
"PDLIM4",2.06265876058629,5.77787639325147,191.736736248842,1.32815228908412e-43,3.84918966488719e-41
"ST6GAL1",1.09042861577828,6.11409461627843,189.838226065203,3.44860040460144e-43,9.84314157907301e-41
"PNOC",2.57566240915711,2.18216814236343,188.27743546374,7.55680929077214e-43,2.12470408088904e-40
"TPRG1",-1.00415135766464,4.41074221053711,187.578268451185,1.07389086514559e-42,2.97499354670774e-40
"MAGED4",1.39123300289933,1.84115136771299,187.425744301858,1.15945834253039e-42,3.16548931254892e-40
"EDNRB",-1.48440238551215,6.18230507087212,187.013529691311,1.42639414477092e-42,3.83545487140477e-40
"L3MBTL4",-0.676261957406607,2.60035829889223,186.986956247765,1.44557434902717e-42,3.83545487140477e-40
"ALDH1A3",2.11085307527454,4.79857217607211,186.767429650577,1.61421899570035e-42,4.22342464458377e-40
"ARHGEF26",-1.42665471524663,5.11699146289649,185.017809539109,3.88964545473941e-42,1.00374165858056e-39
"MS4A15",-2.57924098354002,6.12265963561968,184.758201623036,4.43184794294539e-42,1.12820475066493e-39
"COL22A1",2.02144111955374,-0.115174917239375,184.212985112444,5.82924192254432e-42,1.45095546165207e-39
"ITLN2",-3.83746941222204,5.00331962406322,184.20464480823,5.85373261946903e-42,1.45095546165207e-39
"EFCC1",-1.50681242480242,4.55981059757271,183.886205708337,6.86993755853658e-42,1.68072576269756e-39
"SCG5",2.35837125743126,2.50465793952664,183.795316794395,7.19109927841817e-42,1.73674266931848e-39
"PLXNA4",1.70659680574139,1.95270015736408,183.769155285512,7.28629528427629e-42,1.73745861474933e-39
"RHBDL1",1.15261025765828,1.48128943701218,182.538753106601,1.35247256512827e-41,3.18473477273579e-39
"KIF26B",2.0337569514272,1.0889535477569,181.125653442953,2.75200135451394e-41,6.40027179213996e-39
"CXCL13",4.18610442353417,4.79163876559178,180.659433223685,3.47889014633199e-41,7.99211372885391e-39
"SH2D3C",-1.40185028019337,6.06572047077275,180.419145524863,3.92558531582344e-41,8.90965978066047e-39
"SLC2A5",2.0364610002866,1.80549551854749,179.732397570978,5.54432932316004e-41,1.24338185463915e-38
"SLAIN1",-0.920430549509656,3.58166212085231,178.887584476649,8.47832049302035e-41,1.87899531114726e-38
"CNOT8",-0.556781837604346,6.4572949889756,177.992869873159,1.32944862508003e-40,2.91211083712297e-38
"PIM2",1.65707220283501,6.7128866818835,177.524990078355,1.68203745786064e-40,3.64209444036537e-38
"HSD17B6",-1.86473977476463,5.98951470946737,177.34937084054,1.83731432652328e-40,3.93310537307336e-38
"ADGRB2",1.57178394552829,1.87241731954188,177.14469206468,2.03646473706588e-40,4.31044075470191e-38
"COL17A1",3.35863397949505,2.02867699277355,177.121652855122,2.0601921527235e-40,4.31221108588948e-38
"CD79A",2.73012695115594,5.65774950708567,176.26197901236,3.17415700737636e-40,6.57085381373142e-38
"KRT15",3.03978348177032,6.75493905724109,176.098333234449,3.44637955417859e-40,7.05683674365394e-38
"PTGFRN",1.78319455191346,4.79135914289814,176.035522277458,3.55695967246874e-40,7.19388630105017e-38
"ESAM",-1.17534044769337,5.97052810492376,176.014196635688,3.59530519704306e-40,7.19388630105017e-38
"DPEP1",2.44018283202433,2.1999239125424,175.996260714449,3.62787556322203e-40,7.19388630105017e-38
"CILP2",2.78946222064493,0.975858270257394,175.943147231582,3.72606688233215e-40,7.31162999264302e-38
"CFI",1.01239200332556,6.85036227529719,175.713527193344,4.1820810578755e-40,8.08283583642572e-38
"ITGB4",1.46088179100506,6.01030005412145,175.702707933382,4.20489389515724e-40,8.08283583642572e-38
"AGER",-2.2677685394267,8.72964032201902,175.320430393623,5.09604525085245e-40,9.6968990338948e-38
"IGLL5",2.909139463225,9.41030703931801,175.167870861769,5.50234854543932e-40,1.03653241898986e-37
"NIM1K",-1.24145504150771,1.97158972436752,175.040732281376,5.86559134680435e-40,1.09401989892179e-37
"DCLK1",1.40170363858997,2.90487346324293,174.441836785929,7.92677001952707e-40,1.46396562380246e-37
"IGSF9",2.07547870421819,1.0127880501273,173.848686010275,1.0681412114002e-39,1.95355768352981e-37
"NEBL",-1.07611154120697,5.16774872588704,173.302313007306,1.40587895582687e-39,2.54653343941024e-37
"KANK3",-1.16620598629101,5.58407055408154,172.795169544851,1.81427018443278e-39,3.25497349850902e-37
"PIP5K1B",-1.08459734079509,2.18555972015735,171.702629039554,3.14272151793427e-39,5.58514980706092e-37
"SLC9A3R2",-1.32226940158963,8.51209836780692,171.203058034216,4.04028409613416e-39,7.11316558906312e-37
"TNFRSF13C",2.61460904458614,1.91061328625192,170.886565857194,4.73733981511689e-39,8.26314883677518e-37
"GNAQ",-0.581781104054724,5.62259175509557,170.761027707674,5.04606181484526e-39,8.72089105211513e-37
"LIN7A",-1.03353730813694,2.99791537476534,170.174831916399,6.77612744375636e-39,1.16044262532257e-36
"MUC4",2.68301052079438,5.37565245596569,169.881299373537,7.8540188657777e-39,1.33291898552721e-36
"MYRF",-2.09840160346196,4.7955278116299,169.691060948171,8.64255613007327e-39,1.45364707480643e-36
"DIO2",2.61497280561756,2.45968925806794,168.956629797971,1.25041150254926e-38,2.08453556504628e-36
"FERMT1",1.55821931742702,1.69485583678329,168.531179475939,1.54874353994743e-38,2.55923077241488e-36
"VSIG10",-1.00901147663806,3.94360679356196,168.484044195274,1.58589651390846e-38,2.59783639382674e-36
"CD27",1.90987059626553,4.48934411559279,168.233215594026,1.79912511267395e-38,2.92171714418551e-36
"IFNE",3.08943124385526,-1.34252858097862,167.988097583191,2.03517155055664e-38,3.27680014268256e-36
"POSTN",2.17153440530766,7.93047420025832,167.303975959998,2.8709921274734e-38,4.58336861841898e-36
"SPAG4",1.70803403706115,4.52947150566257,167.110577180011,3.16428983707828e-38,5.00915058410761e-36
"GCNT3",2.52172611420208,1.57160823964405,165.105064172946,8.67678801721666e-38,1.3621111055694e-35
"PRSS2",4.95043330805308,2.45394312919011,164.65052946704,1.09056492406743e-37,1.69785636690762e-35
"CAV1",-1.3322343596556,9.03282927537694,164.437710588679,1.21378592790959e-37,1.87420486147221e-35
"ZNF469",1.65567063103503,0.773596249039112,163.459092672706,1.98576154907063e-37,3.04128260661728e-35
"SEMA6A",-1.31271551803068,4.71664467991786,163.193341614359,2.26977773015196e-37,3.44823168391956e-35
"ADGRF4",2.29924899248574,-0.42551141694289,162.985400379225,2.52005933440206e-37,3.79783021931728e-35
"LRRN1",1.48186740335215,2.48597696749271,162.806901849677,2.75680685338134e-37,4.12164503999982e-35
"PRX",-2.21424302983203,5.92892147228627,162.626090185233,3.01930864640458e-37,4.47856191188736e-35
"FRYL",-0.586422099584471,5.01776509799688,162.581432099919,3.08790419047899e-37,4.5445264953315e-35
"USP25",-0.483759202556063,4.9762743227045,162.253729676939,3.64129936825698e-37,5.31742616273062e-35
"BDKRB2",2.07155112400308,3.65031476628524,162.236051197524,3.67382611088186e-37,5.32365663667635e-35
"ITPRID2",-0.689216127317063,6.54347493392991,161.790952228861,4.59578846251e-37,6.60881397379873e-35
"SYT16",1.78071236117316,-2.00017069340521,161.583416422595,5.10153928047233e-37,7.28051492163164e-35
"RTKN2",-2.84487236939949,4.1627702473918,161.438289264515,5.48792253054001e-37,7.77304395716636e-35
"TUBB3",2.18343004241445,2.07478095963218,160.88222815882,7.25930965292787e-37,1.02052891971534e-34
"ZNF215",1.56363662232476,1.22488196954798,160.805017555325,7.5468266134769e-37,1.0530897758865e-34
"NUMB",-0.455949071196862,6.62075683027696,160.759037140945,7.72343049624377e-37,1.06980870359e-34
"ENTPD1",0.821685555730961,5.58680560640838,160.247828346281,9.98851859331653e-37,1.37345776102844e-34
"LIMCH1",-1.0649665322714,6.99255434982828,160.081607650632,1.08597061904193e-36,1.48242858851535e-34
"FRY",-0.975019916252024,6.47953277322277,159.970219049125,1.14856378688028e-36,1.5565931379317e-34
"FUT1",-1.18893505184184,3.81134405918554,159.899143323752,1.19037650799346e-36,1.60173661839862e-34
"GRM8",-2.71157755426262,-0.130548995281803,159.775351255494,1.26686865280154e-36,1.69257245967911e-34
"STXBP6",-1.82216988063945,4.94193469760505,159.351658412606,1.56785143579254e-36,2.0799426301028e-34
"SNAP25",1.7865587328946,2.4794696952311,158.921136236312,1.94702672419436e-36,2.56490135876737e-34
"STARD5",1.30532827115894,3.1291838817367,158.806486945647,2.0626354974894e-36,2.69832829872953e-34
"GPD1L",-0.782020388754037,5.38366840493937,157.616379881187,3.75374159542196e-36,4.87675752927992e-34
"MAP3K21",-1.12006715727892,1.74526230802737,157.265890808966,4.47764396361654e-36,5.77738746483619e-34
