"","logFC","logCPM","F","PValue","FDR"
"ENSG00000272899",1.49025129464087,1.67136996251907,90.5561607783814,4.11615255008165e-15,1.37339973523989e-14
"ENSG00000164897",0.792899762890193,6.08307817803117,90.5450186769931,4.1274956543964e-15,1.37689021701788e-14
"ENSG00000198885",-1.2785693205941,0.768191723880098,90.5426920004743,4.12986833844768e-15,1.37738740653376e-14
"ENSG00000155269",2.11169492581449,5.91183986984666,90.515242786857,4.15796592558615e-15,1.38646228172257e-14
"ENSG00000164061",1.0553670573088,0.734667050142075,90.5127742264548,4.16050236360392e-15,1.38701180654675e-14
"ENSG00000115525",1.34823958427144,2.90431982186901,90.5022426936531,4.17134127972979e-15,1.39032835309867e-14
"ENSG00000167874",1.12412694989653,3.51845309437459,90.426411306707,4.25024392961965e-15,1.41632461535159e-14
"ENSG00000128487",-0.82285740586366,3.17773285638877,90.4063002964651,4.2714245720243e-15,1.42307322695552e-14
"ENSG00000150540",-0.966617668138131,3.95934282461947,90.4054534108916,4.27231886673107e-15,1.42307322695552e-14
"ENSG00000198663",0.446065658261336,6.67446442951073,90.3359904526184,4.34632664404678e-15,1.44741577574356e-14
"ENSG00000273297",-1.20003998381662,-0.247977873734723,90.3178499181617,4.36586924657369e-15,1.45361379137361e-14
"ENSG00000154975",3.5228180875945,3.71820969398171,90.3031621585432,4.38175807506551e-15,1.45859290123503e-14
"ENSG00000166352",-1.21499205943641,1.48291217345036,90.2986954219351,4.3866017967326e-15,1.45989399383051e-14
"ENSG00000053702",1.03339865931279,0.785909196877262,90.2813244745227,4.40549097055067e-15,1.46586796743898e-14
"ENSG00000138381",-0.660502213795427,5.02552411449276,90.2639247300515,4.42449490937243e-15,1.47187757351635e-14
"ENSG00000157500",-0.821578832033924,4.72952854459693,90.1883303301774,4.50803779954737e-15,1.49934993878427e-14
"ENSG00000151498",-0.52654650036096,3.52186918532942,90.1604215925146,4.53928753102352e-15,1.50942187293587e-14
"ENSG00000105393",-0.325936502889537,6.15346325994696,90.0921697058378,4.61664730233097e-15,1.53481894557051e-14
"ENSG00000143033",-0.711547834923899,4.337079323706,90.0716085512024,4.64021569185498e-15,1.5423258969819e-14
"ENSG00000177679",2.02546796813344,1.9400683614696,90.0579880123154,4.65589610831997e-15,1.54720838746469e-14
"ENSG00000101199",0.715344054243828,6.39998050715701,90.0490677452098,4.66619479064866e-15,1.55030076764433e-14
"ENSG00000134013",1.21311038129616,5.28938866525892,90.037513947069,4.67956861416578e-15,1.55441330222034e-14
"ENSG00000155115",-1.09839252325781,3.5234141245187,90.0314497690072,4.68660374913933e-15,1.55641901152017e-14
"ENSG00000213445",0.958867904084807,5.06974265383511,90.0239198771763,4.69535434401002e-15,1.55899344999329e-14
"ENSG00000105323",0.357706803273677,7.29558019767199,90.0122274748386,4.70897540340964e-15,1.56318358490392e-14
"ENSG00000169683",-0.918501870031688,3.95935816779583,89.986813699284,4.7387208037476e-15,1.57272340961113e-14
"ENSG00000116539",0.670673188259186,6.19411956040797,89.9577196649399,4.77300990866201e-15,1.58376685853414e-14
"ENSG00000142530",-1.08074437853424,0.980895744376159,89.9469282971373,4.7857926592497e-15,1.58767095189559e-14
"ENSG00000136875",-0.335999963055532,4.71123862043263,89.8257097123967,4.93181052266004e-15,1.63576430592243e-14
"ENSG00000163082",-2.21135476459878,0.723837177592664,89.7620812310186,5.01027306612731e-15,1.66143549508028e-14
"ENSG00000239697",1.00004605397765,3.50851264769914,89.6943700288783,5.09517416144381e-15,1.68923038879721e-14
"ENSG00000107175",0.435502507867897,5.11895833037326,89.6795534783638,5.11394770137079e-15,1.69509451197029e-14
"ENSG00000065802",-0.612332040137896,4.04218809390729,89.6695964864988,5.12660361716399e-15,1.69892879794448e-14
"ENSG00000166592",1.86406713611141,3.57226060523901,89.5895825416159,5.2294768154156e-15,1.73265263247598e-14
"ENSG00000114982",0.367066317427953,6.22141468990378,89.580366234413,5.24146104088037e-15,1.73625482219869e-14
"ENSG00000153406",-0.634780094501972,5.10664913385601,89.5792249980297,5.2429469771492e-15,1.73637862128242e-14
"ENSG00000124920",-1.91087002595572,2.68479062643721,89.5753927192248,5.24793991532088e-15,1.73766358341441e-14
"ENSG00000116205",-0.479980531016881,3.46083230637138,89.5631333745716,5.26394487820972e-15,1.74259345713762e-14
