"","logCPM","logFC","lfcSE","stat","pvalue","FDR"
"YDL224C",878.444259196921,0.0939046188525445,0.021546371655709,0,1,1
"YDL225W",854.912766068894,0.0742584680702735,0.0333138783733677,0,1,1
"YDL226C",1201.57177524582,-0.0287721728916436,0.0207924905155586,0,1,1
"YDL227C",95.0000767505928,-2.01062958288602,0.0878488099619456,-11.5041920695773,1.25660558485813e-30,5.57467470201135e-29
"YDL228C",27.0891208797503,-0.378944980492538,0.234297712164509,0,1,1
"YDL229W",11409.4074567714,-1.06044127078476,0.0570025374605322,-1.06032596928872,0.288996328719109,1
"YDL230W",570.214966786795,-0.014745583118691,0.0489040616802413,0,1,1
"YDL231C",803.159387232546,2.82362105434279e-05,0.0197570857470795,0,1,1
"YDL232W",288.250272988083,0.148912009012099,0.0844080567488103,0,1,1
"YDL233W",466.871636169908,0.324967141012554,0.0338011782283384,0,1,1
"YDL234C",1409.15708155255,-0.501238946612736,0.0646999515375635,0,1,1
"YDL235C",419.804459760878,0.132658269651619,0.038417525388444,0,1,1
"YDL236W",1603.90188612687,-0.0967216532170788,0.0251173409148413,0,1,1
"YDL237W",741.320248455421,0.103678292888489,0.0320340122102597,0,1,1
"YDL238C",300.508451656203,-0.479476159352717,0.0752032524107587,0,1,1
"YDL239C",169.245008846173,-0.103023625707365,0.0810391272862988,0,1,1
"YDL240W",424.505992840666,0.030829502035653,0.0500469457459918,0,1,1
"YDL241W",235.047742080542,-1.79327299120842,0.0672167424590246,-11.801717283339,3.82426359703623e-32,1.74835989943893e-30
"YDL242W",28.2193966746291,-0.56273833212854,0.0807964682639227,0,1,1
"YDL243C",285.141904846655,-0.0317956701978906,0.0475689234315058,0,1,1
"YDL244W",66.5354650858847,1.53968272057739,0.079070387857591,6.8253455585595,8.77139200608004e-12,2.56253008411772e-10
"YDL245C",69.6360211300747,-0.14020766400104,0.0593673238935621,0,1,1
"YDL246C",126.317956532377,0.261403318094219,0.0544356597924658,0,1,1
"YDL247W",146.934411710677,-0.0021708480326922,0.0386511495659238,0,1,1
"YDL247W-A",16.1580602964268,0.0424104430277906,0.0906068988222177,0,1,1
"YDL248W",367.473251469767,-0.0713040614456077,0.0479939258286032,0,1,1
"YDR001C",2231.4102353774,-0.440636496219841,0.0488933730311766,0,1,1
"YDR002W",4317.6743558555,-0.0645772518065866,0.0262409249267342,0,1,1
"YDR003W",663.669081586516,0.339446099172473,0.0392811310270078,0,1,1
"YDR003W-A",170.859902720653,0.623494894201826,0.0541635261996122,0,1,1
"YDR004W",398.216181836422,0.275387504926534,0.0247183261678351,0,1,1
"YDR005C",556.706417249781,-0.284141885796642,0.0410781001155008,0,1,1
"YDR006C",992.568166172257,0.118375839774931,0.0321428479530555,0,1,1
