,Data,N,Out,DEA,FDR,logFC,#DEGs,#DEGs_Mean,Precision,Precision_Mean
56,BRCA,3,None,edgeR LRT,0.1,post,1903.0,1997.2,0.7678839543015903,0.7654111620899728
57,BRCA,3,None,edgeR LRT,0.2,0,2940.0,2952.84,0.973603014410386,0.9667104293819655
58,BRCA,3,None,edgeR LRT,0.2,1,1055.0,1196.9,0.8541331456154465,0.8212549888105736
59,BRCA,3,None,edgeR LRT,0.2,post,2911.0,2816.04,0.6963476413199798,0.6912123432436593
60,BRCA,3,None,edgeR LRT,0.5,0,6593.5,5886.7,0.9710824983754213,0.9685812031462144
61,BRCA,3,None,edgeR LRT,0.5,1,1935.0,2206.22,0.7760635155096012,0.734438321215038
62,BRCA,3,None,edgeR LRT,0.5,post,4534.5,4465.08,0.5734455457109553,0.5762390715009684
63,BRCA,4,None,DESeq2,0.0001,0,624.0,758.78,0.980887585118164,0.975224076479117
64,BRCA,4,None,DESeq2,0.0001,1,145.0,191.64,0.9567091454272864,0.9419127427437682
65,BRCA,4,None,DESeq2,0.0001,post,624.0,758.78,0.9410615349400315,0.9311290350933367
66,BRCA,4,None,DESeq2,0.001,0,989.5,1150.54,0.9777143802199619,0.9720245231287186
67,BRCA,4,None,DESeq2,0.001,1,232.0,281.86,0.9534632034632035,0.9328336627321434
68,BRCA,4,None,DESeq2,0.001,post,989.5,1150.42,0.9056943625825782,0.8892163181419909
69,BRCA,4,None,DESeq2,0.01,0,1763.0,1925.16,0.9744876081784786,0.9684693238868154
70,BRCA,4,None,DESeq2,0.01,1,380.0,441.22,0.9413111538945966,0.9200405454051664
71,BRCA,4,None,DESeq2,0.01,post,1747.0,1908.8,0.8287266909411894,0.8088371474857309
72,BRCA,4,None,DESeq2,0.05,0,2965.0,3064.6,0.9718275411502633,0.9645491166812359
73,BRCA,4,None,DESeq2,0.05,1,586.5,638.74,0.9326067375247703,0.902309368417029
74,BRCA,4,None,DESeq2,0.05,post,2877.5,2911.28,0.7253866610235249,0.7160389626168615
75,BRCA,4,None,DESeq2,0.1,0,3847.5,3936.22,0.9690650046855617,0.962282506233379
76,BRCA,4,None,DESeq2,0.1,1,706.0,762.52,0.9193981648239611,0.8905755010836596
77,BRCA,4,None,DESeq2,0.1,post,3576.0,3546.14,0.6683709860781057,0.6659528879741957
78,BRCA,4,None,DESeq2,0.2,0,5309.5,5344.94,0.9655926675663518,0.9596711966871804
79,BRCA,4,None,DESeq2,0.2,1,864.0,924.28,0.9045236974262398,0.8753576434603753
80,BRCA,4,None,DESeq2,0.2,post,4431.0,4301.72,0.6281884246923224,0.616077050377179
81,BRCA,4,None,DESeq2,0.5,0,9271.5,9145.14,0.9632838403414472,0.9616300514742757
82,BRCA,4,None,DESeq2,0.5,1,1164.0,1246.74,0.8821496858781753,0.8484023669893759
83,BRCA,4,None,DESeq2,0.5,post,5011.5,5140.58,0.5827636769865316,0.5696751714704417
84,BRCA,4,None,edgeR QLF,0.0001,0,0.0,0.0,,
85,BRCA,4,None,edgeR QLF,0.0001,1,0.0,0.0,,
86,BRCA,4,None,edgeR QLF,0.0001,post,0.0,0.0,,
87,BRCA,4,None,edgeR QLF,0.001,0,0.0,0.0,,
88,BRCA,4,None,edgeR QLF,0.001,1,0.0,0.0,,
89,BRCA,4,None,edgeR QLF,0.001,post,0.0,0.0,,
90,BRCA,4,None,edgeR QLF,0.01,0,0.0,30.32,1.0,0.9981058563816468
91,BRCA,4,None,edgeR QLF,0.01,1,0.0,12.0,1.0,0.9901417436747698
92,BRCA,4,None,edgeR QLF,0.01,post,0.0,30.32,1.0,0.987014884917945
93,BRCA,4,None,edgeR QLF,0.05,0,5.0,446.32,0.991652754590985,0.989200608355905
94,BRCA,4,None,edgeR QLF,0.05,1,1.0,112.38,0.9793793992267275,0.9610286726066316
95,BRCA,4,None,edgeR QLF,0.05,post,5.0,444.48,0.9529780564263323,0.9155150615843586
96,BRCA,4,None,edgeR QLF,0.1,0,625.5,1251.42,0.9856621080682397,0.9822935131476552
97,BRCA,4,None,edgeR QLF,0.1,1,30.0,267.12,0.9583333333333334,0.942588535124954
98,BRCA,4,None,edgeR QLF,0.1,post,625.5,1182.5,0.84667595393411,0.824013011584532
99,BRCA,4,None,edgeR QLF,0.2,0,2384.0,2946.5,0.9774738535800482,0.9716734161629765
100,BRCA,4,None,edgeR QLF,0.2,1,327.0,603.52,0.9305642057966501,0.9048556773375889
101,BRCA,4,None,edgeR QLF,0.2,post,2370.5,2457.0,0.7016185784658691,0.7141103955544603
102,BRCA,4,None,edgeR QLF,0.5,0,8142.0,8029.88,0.9645849529239008,0.9613572512727896
103,BRCA,4,None,edgeR QLF,0.5,1,1652.5,1663.46,0.823723092832596,0.8011716373290577
104,BRCA,4,None,edgeR QLF,0.5,post,4789.0,4596.44,0.599046627091893,0.5904315707614896
105,BRCA,4,None,edgeR LRT,0.0001,0,271.5,371.26,0.9849276185069543,0.9798769133713618
106,BRCA,4,None,edgeR LRT,0.0001,1,90.5,142.76,0.9480384480384481,0.9410915012769443
107,BRCA,4,None,edgeR LRT,0.0001,post,271.5,371.26,0.9660666046676409,0.9610268938255253
108,BRCA,4,None,edgeR LRT,0.001,0,471.0,626.06,0.9828734498094992,0.9790773143027769
109,BRCA,4,None,edgeR LRT,0.001,1,177.0,246.26,0.9467948717948718,0.9366204669484195
110,BRCA,4,None,edgeR LRT,0.001,post,471.0,626.06,0.9476178598154152,0.9390072565022429
111,BRCA,4,None,edgeR LRT,0.01,0,1028.0,1198.08,0.9805739935251941,0.9754825768190752
112,BRCA,4,None,edgeR LRT,0.01,1,381.5,465.3,0.9348292445693289,0.9187073537886326
113,BRCA,4,None,edgeR LRT,0.01,post,1028.0,1197.86,0.8966466346153846,0.8739116575630109
114,BRCA,4,None,edgeR LRT,0.05,0,1973.5,2113.7,0.9783353791066238,0.9714034508710435
115,BRCA,4,None,edgeR LRT,0.05,1,757.0,794.52,0.9098755560584888,0.8874109672876698
116,BRCA,4,None,edgeR LRT,0.05,post,1971.5,2078.74,0.7920930788257619,0.7811391921699103
117,BRCA,4,None,edgeR LRT,0.1,0,2836.5,2847.22,0.9771372423649767,0.9695322841305761
118,BRCA,4,None,edgeR LRT,0.1,1,1005.0,1045.72,0.889945940435287,0.8646837732690874
119,BRCA,4,None,edgeR LRT,0.1,post,2764.5,2712.3,0.7295343229881255,0.7233862095314696
120,BRCA,4,None,edgeR LRT,0.2,0,4138.0,4056.08,0.972776710252826,0.9665636198101835
121,BRCA,4,None,edgeR LRT,0.2,1,1383.5,1431.04,0.863519373820212,0.830910070746812
122,BRCA,4,None,edgeR LRT,0.2,post,3605.0,3565.12,0.6500635778503694,0.6546338987913549
123,BRCA,4,None,edgeR LRT,0.5,0,7707.0,7611.96,0.9691332118161163,0.9664207092498868
124,BRCA,4,None,edgeR LRT,0.5,1,2363.0,2467.3,0.7791440756198723,0.744908873550595
125,BRCA,4,None,edgeR LRT,0.5,post,4862.0,4834.36,0.5937564086788893,0.5790750415965344
126,BRCA,5,None,DESeq2,0.0001,0,810.0,894.76,0.9898389751516152,0.9855305528623568
127,BRCA,5,None,DESeq2,0.0001,1,158.5,199.58,0.9778457772337821,0.9651370677920563
128,BRCA,5,None,DESeq2,0.0001,post,810.0,894.5,0.9485981015828491,0.9356136967260325
129,BRCA,5,None,DESeq2,0.001,0,1262.5,1363.34,0.9854077993255613,0.9821310505786133
130,BRCA,5,None,DESeq2,0.001,1,256.5,294.36,0.9676234822982388,0.9573460163718243
131,BRCA,5,None,DESeq2,0.001,post,1262.0,1358.06,0.9022759260340254,0.8881823646586013
132,BRCA,5,None,DESeq2,0.01,0,2197.0,2270.16,0.9824749937068012,0.9781202204724917
133,BRCA,5,None,DESeq2,0.01,1,410.0,459.66,0.9618801504579779,0.9472047534914557
134,BRCA,5,None,DESeq2,0.01,post,2163.5,2202.02,0.8152177773451579,0.8055179141411706
135,BRCA,5,None,DESeq2,0.05,0,3561.0,3607.52,0.9770282006369142,0.9722944974088437
136,BRCA,5,None,DESeq2,0.05,1,598.0,658.7,0.9446008098928352,0.9306515577682377
137,BRCA,5,None,DESeq2,0.05,post,3262.5,3236.04,0.7091358475608618,0.7166535343369311
138,BRCA,5,None,DESeq2,0.1,0,4596.0,4615.64,0.974622176193477,0.9690069713039327
139,BRCA,5,None,DESeq2,0.1,1,724.5,783.36,0.9340969805882033,0.9211145154623072
140,BRCA,5,None,DESeq2,0.1,post,3823.0,3814.92,0.6723971293324269,0.6732946925486009
141,BRCA,5,None,DESeq2,0.2,0,6171.0,6173.68,0.9690629388317451,0.9642104499365829
142,BRCA,5,None,DESeq2,0.2,1,871.5,945.18,0.9257791391348547,0.9073970266586366
143,BRCA,5,None,DESeq2,0.2,post,4356.0,4414.8,0.6410445558037967,0.6353473245962844
144,BRCA,5,None,DESeq2,0.5,0,10321.5,10153.86,0.9623929960104346,0.962021608699101
145,BRCA,5,None,DESeq2,0.5,1,1118.0,1258.66,0.9032043272746041,0.8813981694653328
146,BRCA,5,None,DESeq2,0.5,post,4839.0,4912.48,0.6091312544405072,0.6083605730784175
147,BRCA,5,None,edgeR QLF,0.0001,0,0.0,0.0,,
148,BRCA,5,None,edgeR QLF,0.0001,1,0.0,0.0,,
149,BRCA,5,None,edgeR QLF,0.0001,post,0.0,0.0,,
150,BRCA,5,None,edgeR QLF,0.001,0,0.0,0.42,1.0,1.0
151,BRCA,5,None,edgeR QLF,0.001,1,0.0,0.38,1.0,1.0
152,BRCA,5,None,edgeR QLF,0.001,post,0.0,0.42,1.0,1.0
153,BRCA,5,None,edgeR QLF,0.01,0,1.0,66.04,1.0,0.9942395119719307
154,BRCA,5,None,edgeR QLF,0.01,1,0.5,15.92,1.0,0.995054767741742
155,BRCA,5,None,edgeR QLF,0.01,post,1.0,66.04,1.0,0.9880322347866803
156,BRCA,5,None,edgeR QLF,0.05,0,729.5,882.24,0.9945087113641411,0.9916841709745782
157,BRCA,5,None,edgeR QLF,0.05,1,52.0,171.46,0.9876543209876543,0.9762319683604664
158,BRCA,5,None,edgeR QLF,0.05,post,729.5,845.16,0.9037370962988958,0.8860003332795917
159,BRCA,5,None,edgeR QLF,0.1,0,1716.0,1984.66,0.9894179894179894,0.9861434797858487
160,BRCA,5,None,edgeR QLF,0.1,1,242.5,373.08,0.9552483172639622,0.9506539061381037
161,BRCA,5,None,edgeR QLF,0.1,post,1686.5,1754.38,0.803125,0.7985912885821552
162,BRCA,5,None,edgeR QLF,0.2,0,3899.0,4054.72,0.9788040992458218,0.9757260880158667
163,BRCA,5,None,edgeR QLF,0.2,1,629.5,738.94,0.9364579222174056,0.9206296616744504
164,BRCA,5,None,edgeR QLF,0.2,post,3168.5,3063.34,0.6931673446800333,0.7003992828267226
165,BRCA,5,None,edgeR QLF,0.5,0,9480.0,9223.94,0.9607249969410525,0.9614262887532544
166,BRCA,5,None,edgeR QLF,0.5,1,1557.0,1805.48,0.8293384820344349,0.8246544335803976
167,BRCA,5,None,edgeR QLF,0.5,post,4669.5,4604.1,0.615025250701007,0.6171699570946748
168,BRCA,5,None,edgeR LRT,0.0001,0,443.0,461.46,0.9905950028232637,0.9892684704001178
169,BRCA,5,None,edgeR LRT,0.0001,1,130.5,154.38,0.9705882352941176,0.9653337144747127
170,BRCA,5,None,edgeR LRT,0.0001,post,443.0,461.46,0.9746530838570251,0.9692974060373141
171,BRCA,5,None,edgeR LRT,0.001,0,714.0,780.66,0.9891973704596401,0.9877893291641106
172,BRCA,5,None,edgeR LRT,0.001,1,236.5,265.42,0.9629354654483153,0.9582801668541692
173,BRCA,5,None,edgeR LRT,0.001,post,714.0,780.54,0.9478018038416545,0.9395951990247666
174,BRCA,5,None,edgeR LRT,0.01,0,1351.5,1473.46,0.9881431792751294,0.9849371014995334
175,BRCA,5,None,edgeR LRT,0.01,1,439.5,495.32,0.9556915862690716,0.9438236209449097
176,BRCA,5,None,edgeR LRT,0.01,post,1351.5,1463.18,0.8758726681473283,0.8671407182715943
177,BRCA,5,None,edgeR LRT,0.05,0,2356.0,2562.78,0.9829058601700735,0.9798667389238231
178,BRCA,5,None,edgeR LRT,0.05,1,729.5,831.84,0.9317048998746611,0.9194679735154416
179,BRCA,5,None,edgeR LRT,0.05,post,2297.5,2439.04,0.7856598117839946,0.7691756491373763
180,BRCA,5,None,edgeR LRT,0.1,0,3258.5,3417.94,0.9811186643972483,0.9768563984977265
181,BRCA,5,None,edgeR LRT,0.1,1,934.0,1075.12,0.9118469714392268,0.898509178020506
182,BRCA,5,None,edgeR LRT,0.1,post,3078.0,3068.28,0.712952067526928,0.7153881049737076
183,BRCA,5,None,edgeR LRT,0.2,0,4823.5,4832.82,0.9748165072845927,0.9722777241160275
184,BRCA,5,None,edgeR LRT,0.2,1,1294.0,1456.64,0.8736752946827375,0.8646575306284346
185,BRCA,5,None,edgeR LRT,0.2,post,3829.5,3834.92,0.6599450257034079,0.6617453427607549
186,BRCA,5,None,edgeR LRT,0.5,0,8722.0,8715.4,0.9673909125217626,0.9668780097215464
187,BRCA,5,None,edgeR LRT,0.5,1,2239.0,2414.68,0.7919807457185535,0.7788389185379359
188,BRCA,5,None,edgeR LRT,0.5,post,4746.5,4733.26,0.6120758096014064,0.6130800901870725
189,BRCA,6,None,DESeq2,0.0001,0,1101.5,1120.44,0.992559826820999,0.9884698249514037
190,BRCA,6,None,DESeq2,0.0001,1,189.0,211.96,0.9816067653276955,0.9758955933939744
191,BRCA,6,None,DESeq2,0.0001,post,1100.5,1108.92,0.9247948798891499,0.9155114602138736
192,BRCA,6,None,DESeq2,0.001,0,1673.0,1708.0,0.989318299770614,0.985908959771887
193,BRCA,6,None,DESeq2,0.001,1,299.5,313.92,0.9802746392492795,0.9686758277957753
194,BRCA,6,None,DESeq2,0.001,post,1664.5,1657.72,0.8705548236534046,0.867661990711689
195,BRCA,6,None,DESeq2,0.01,0,2736.5,2835.4,0.9867285472734959,0.9814291306519499
196,BRCA,6,None,DESeq2,0.01,1,452.0,489.78,0.9712389380530974,0.959508250457167
197,BRCA,6,None,DESeq2,0.01,post,2631.0,2585.7,0.78933404792331,0.7882227339839594
198,BRCA,6,None,DESeq2,0.05,0,4362.5,4426.76,0.982320980596912,0.9754607757820335
199,BRCA,6,None,DESeq2,0.05,1,674.5,702.8,0.9621053743004963,0.9458380922830927
200,BRCA,6,None,DESeq2,0.05,post,3742.0,3565.96,0.7164128126566847,0.715270590236508
201,BRCA,6,None,DESeq2,0.1,0,5522.0,5565.4,0.9778556343325506,0.9707669278270052
202,BRCA,6,None,DESeq2,0.1,1,794.5,831.16,0.9511062459598238,0.935975388179659
203,BRCA,6,None,DESeq2,0.1,post,4166.5,4042.42,0.6867124556342069,0.6836436745710458
204,BRCA,6,None,DESeq2,0.2,0,7202.5,7234.48,0.9716672109679869,0.9647312082529114
205,BRCA,6,None,DESeq2,0.2,1,967.0,997.16,0.9392596117244004,0.9233193672219557
206,BRCA,6,None,DESeq2,0.2,post,4478.0,4469.28,0.658190860606916,0.6578574487532439
207,BRCA,6,None,DESeq2,0.5,0,11353.0,11230.8,0.9632143504452052,0.9610999424245495
208,BRCA,6,None,DESeq2,0.5,1,1236.5,1322.08,0.9125393129055297,0.8986602442806831
209,BRCA,6,None,DESeq2,0.5,post,4669.0,4741.92,0.6509731029671707,0.6429800351197024
210,BRCA,6,None,edgeR QLF,0.0001,0,0.0,0.08,1.0,1.0
211,BRCA,6,None,edgeR QLF,0.0001,1,0.0,0.06,1.0,1.0
212,BRCA,6,None,edgeR QLF,0.0001,post,0.0,0.08,1.0,1.0
213,BRCA,6,None,edgeR QLF,0.001,0,0.0,4.14,1.0,1.0
214,BRCA,6,None,edgeR QLF,0.001,1,0.0,1.68,1.0,0.9941176470588236
215,BRCA,6,None,edgeR QLF,0.001,post,0.0,4.14,1.0,1.0
216,BRCA,6,None,edgeR QLF,0.01,0,48.5,234.94,1.0,0.9978848014511457
217,BRCA,6,None,edgeR QLF,0.01,1,2.5,36.72,1.0,0.9945673759816733
218,BRCA,6,None,edgeR QLF,0.01,post,48.5,232.52,0.9790846610434238,0.9646864430924389
219,BRCA,6,None,edgeR QLF,0.05,0,1527.0,1615.24,0.9932203389830508,0.9907753958990657
220,BRCA,6,None,edgeR QLF,0.05,1,126.5,250.04,0.9838709677419355,0.9747431290643306
221,BRCA,6,None,edgeR QLF,0.05,post,1455.5,1443.98,0.8395540475036355,0.8339218999965725
222,BRCA,6,None,edgeR QLF,0.1,0,2966.0,3060.32,0.9890320085666862,0.9842289614887113
223,BRCA,6,None,edgeR QLF,0.1,1,455.5,500.86,0.9660766961651918,0.9568702370558009
224,BRCA,6,None,edgeR QLF,0.1,post,2559.5,2440.92,0.7549273422495797,0.7609483726126147
225,BRCA,6,None,edgeR QLF,0.2,0,5336.0,5320.56,0.9810256071578394,0.9742051661731846
226,BRCA,6,None,edgeR QLF,0.2,1,853.0,937.54,0.933649289099526,0.918499995566083
227,BRCA,6,None,edgeR QLF,0.2,post,3645.0,3532.58,0.6931373677927497,0.697294635619573
228,BRCA,6,None,edgeR QLF,0.5,0,10757.0,10316.38,0.9638260467996452,0.9610033536902702
229,BRCA,6,None,edgeR QLF,0.5,1,2039.5,2031.74,0.8354636832634085,0.8289659321101541
230,BRCA,6,None,edgeR QLF,0.5,post,4557.0,4565.52,0.6482647247522798,0.6468468566364034
231,BRCA,6,None,edgeR LRT,0.0001,0,565.0,596.52,0.9942964954892435,0.9922043517381174
232,BRCA,6,None,edgeR LRT,0.0001,1,122.0,169.06,0.9786665149618842,0.9736246789079702
233,BRCA,6,None,edgeR LRT,0.0001,post,565.0,596.22,0.9700269420745398,0.961373784865738
234,BRCA,6,None,edgeR LRT,0.001,0,957.0,1011.06,0.9931943016459648,0.9903260276038327
235,BRCA,6,None,edgeR LRT,0.001,1,243.0,291.68,0.9794823232323232,0.9705476480682842
236,BRCA,6,None,edgeR LRT,0.001,post,956.0,1007.44,0.9327799501497793,0.9218562113786752
237,BRCA,6,None,edgeR LRT,0.01,0,1831.5,1879.68,0.9911527345331677,0.9875057671149325
238,BRCA,6,None,edgeR LRT,0.01,1,485.0,543.3,0.9659916689470643,0.9560453043596465
239,BRCA,6,None,edgeR LRT,0.01,post,1796.0,1826.66,0.8475427345144558,0.8420409383829528
240,BRCA,6,None,edgeR LRT,0.05,0,3142.0,3221.8,0.9870972018282762,0.9827032409299072
241,BRCA,6,None,edgeR LRT,0.05,1,859.0,903.78,0.9427101896954576,0.9316370935517404
242,BRCA,6,None,edgeR LRT,0.05,post,2913.5,2867.28,0.7542792728788352,0.7535630581345935
243,BRCA,6,None,edgeR LRT,0.1,0,4172.0,4233.62,0.9854240305389027,0.9787364238900629
244,BRCA,6,None,edgeR LRT,0.1,1,1120.0,1169.12,0.9245253164556962,0.9112450589678044
245,BRCA,6,None,edgeR LRT,0.1,post,3514.0,3447.8,0.7131912943871708,0.7116894855021649
246,BRCA,6,None,edgeR LRT,0.2,0,5852.5,5793.7,0.9805140351970745,0.973314060461025
247,BRCA,6,None,edgeR LRT,0.2,1,1485.0,1553.08,0.8926678132146495,0.8784480177072805
248,BRCA,6,None,edgeR LRT,0.2,post,4174.5,4042.6,0.6757594859659568,0.6759505852671133
249,BRCA,6,None,edgeR LRT,0.5,0,10237.0,9833.78,0.9699869733246457,0.9666904709144276
250,BRCA,6,None,edgeR LRT,0.5,1,2387.5,2500.38,0.8066738099138464,0.7983470100089762
251,BRCA,6,None,edgeR LRT,0.5,post,4586.5,4643.3,0.6476376707331384,0.6446101482328289
252,BRCA,7,None,DESeq2,0.0001,0,1363.0,1358.38,0.992090823245759,0.9901145451640803
253,BRCA,7,None,DESeq2,0.0001,1,210.0,244.22,0.9856481481481482,0.9814941201216402
254,BRCA,7,None,DESeq2,0.0001,post,1340.0,1321.38,0.9133317098249316,0.904630566594404
255,BRCA,7,None,DESeq2,0.001,0,2076.0,2036.28,0.9914999784739263,0.9880312952354977
256,BRCA,7,None,DESeq2,0.001,1,306.5,355.98,0.9836599562129545,0.9761796376077426
257,BRCA,7,None,DESeq2,0.001,post,1962.0,1913.58,0.8606878796090398,0.8578965455013473
258,BRCA,7,None,DESeq2,0.01,0,3342.0,3317.84,0.9869879138115617,0.9836689830795116
259,BRCA,7,None,DESeq2,0.01,1,503.5,545.18,0.9759883370157669,0.9653902882840242
260,BRCA,7,None,DESeq2,0.01,post,2899.5,2847.46,0.7785510801559564,0.7845149048754663
261,BRCA,7,None,DESeq2,0.05,0,5154.5,5063.6,0.9827990193747,0.9772294342533767
262,BRCA,7,None,DESeq2,0.05,1,693.5,757.26,0.9661705221834596,0.9542755359993207
263,BRCA,7,None,DESeq2,0.05,post,3805.5,3731.46,0.7257255462259609,0.7247184625211675
264,BRCA,7,None,DESeq2,0.1,0,6424.5,6262.9,0.9780362967589701,0.9725193077042183
265,BRCA,7,None,DESeq2,0.1,1,833.0,889.2,0.9553205579518388,0.9452047319133728
266,BRCA,7,None,DESeq2,0.1,post,4138.5,4113.84,0.6997818195586223,0.7002987867336077
267,BRCA,7,None,DESeq2,0.2,0,8229.0,7983.28,0.9708507294422923,0.9662423886475144
268,BRCA,7,None,DESeq2,0.2,1,1001.5,1053.26,0.9456566216513835,0.9339620371938975
269,BRCA,7,None,DESeq2,0.2,post,4429.5,4419.16,0.683657803317368,0.6811235340774598
270,BRCA,7,None,DESeq2,0.5,0,12183.0,11922.22,0.9636984078415836,0.9614985458719386
271,BRCA,7,None,DESeq2,0.5,1,1327.0,1370.86,0.9258967593641749,0.9091975394537012
272,BRCA,7,None,DESeq2,0.5,post,4646.5,4583.86,0.6693408858729338,0.6716450513830974
273,BRCA,7,None,edgeR QLF,0.0001,0,0.0,0.42,1.0,1.0
274,BRCA,7,None,edgeR QLF,0.0001,1,0.0,0.14,1.0,1.0
275,BRCA,7,None,edgeR QLF,0.0001,post,0.0,0.42,1.0,1.0
276,BRCA,7,None,edgeR QLF,0.001,0,0.5,21.4,1.0,0.9995833333333334
277,BRCA,7,None,edgeR QLF,0.001,1,0.0,4.64,1.0,1.0
278,BRCA,7,None,edgeR QLF,0.001,post,0.5,21.4,1.0,0.9978775677461573
