,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_adj,median_mcc,median_mcc0,median_mcc0_adj,median_mcc_adj,median_prec,median_prec0,median_prec0_adj,median_prec_adj,median_rec,median_rec_adj,median_rep,median_rep_adj,id
0,BRCA,3,None,DESeq2,0.001,1,170.5,170.5,0.25070680030822046,0.25070680030822046,0.25070680030822046,0.25070680030822046,0.9025101004586153,0.9025101004586153,0.9025101004586153,0.9025101004586153,0.08540540540540541,0.08540540540540541,0.10599892527397373,0.10599892527397373,0
1,BRCA,3,None,DESeq2,0.01,1,281.5,281.5,0.3121481377781029,0.3121481377781029,0.3121481377781029,0.3121481377781029,0.9130037488284911,0.9130037488284911,0.9130037488284911,0.9130037488284911,0.1212756052141527,0.1212756052141527,0.14191279276146596,0.14191279276146596,0
2,BRCA,3,None,DESeq2,0.05,1,456.5,456.5,0.35884082593282696,0.35884082593282696,0.35884082593282696,0.35884082593282696,0.9011443438531179,0.9011443438531179,0.9011443438531179,0.9011443438531179,0.1671505599336375,0.1671505599336375,0.17667640506287796,0.17667640506287796,0
3,BRCA,3,None,DESeq2,0.1,1,561.5,561.5,0.3782799837184089,0.3782799837184089,0.3782799837184089,0.3782799837184089,0.89215650973685,0.89215650973685,0.89215650973685,0.89215650973685,0.19217011128775835,0.19217011128775835,0.19283725811231653,0.19283725811231653,0
4,BRCA,3,None,edgeR LRT,0.001,1,120.5,120.5,0.2243136898443744,0.2243136898443744,0.2243136898443744,0.2243136898443744,0.8992385539032248,0.8992385539032248,0.8992385539032248,0.8992385539032248,0.061621621621621624,0.061621621621621624,0.06976744186046512,0.06976744186046512,0
5,BRCA,3,None,edgeR LRT,0.01,1,272.0,272.0,0.30206115311532866,0.30206115311532866,0.30206115311532866,0.30206115311532866,0.901309278887471,0.901309278887471,0.901309278887471,0.901309278887471,0.11149906890130354,0.11149906890130354,0.10819804486340229,0.10819804486340229,0
6,BRCA,3,None,edgeR LRT,0.05,1,539.0,539.0,0.38455240678714053,0.38455240678714053,0.38455240678714053,0.38455240678714053,0.8726331465853485,0.8726331465853485,0.8726331465853485,0.8726331465853485,0.1997096640398175,0.1997096640398175,0.157447471578763,0.157447471578763,0
7,BRCA,3,None,edgeR LRT,0.1,1,740.0,740.0,0.42172807858093225,0.42172807858093225,0.42172807858093225,0.42172807858093225,0.8446262466436517,0.8446262466436517,0.8446262466436517,0.8446262466436517,0.2531796502384738,0.2531796502384738,0.18149552605356656,0.18149552605356656,0
8,BRCA,3,None,edgerqlf,0.001,1,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
9,BRCA,3,None,edgerqlf,0.01,1,0.0,0.0,0.04540642429758139,0.0,0.0,0.04540642429758139,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
