,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_adj,median_mcc,median_mcc0,median_mcc0_adj,median_mcc_adj,median_prec,median_prec0,median_prec0_adj,median_prec_adj,median_rec,median_rec_adj,median_rep,median_rep_adj,id
0,BRCA,3,ReBoost,DESeq2,0.001,0,718.5,876.0,0.12872629954887277,0.12872629954887277,0.1461670793851676,0.1461670793851676,0.9491844551557928,0.9491844551557928,0.9534446302124311,0.9534446302124311,0.05765143464399575,0.07266206163655686,0.17517006802721088,0.19772403982930298,0
1,BRCA,3,ReBoost,DESeq2,0.001,1,718.5,876.0,0.3441933629750791,0.3441933629750791,0.38264723428194425,0.38264723428194425,0.907112344298946,0.907112344298946,0.9189795548821919,0.9189795548821919,0.17296306738088527,0.21976318015224133,0.17517006802721088,0.19772403982930298,0
2,BRCA,3,ReBoost,DESeq2,0.01,0,1249.0,1437.5,0.14157550715440692,0.14157550715440692,0.15452804762887057,0.15452804762887057,0.9516337302864499,0.9516337302864499,0.9605579510689,0.9605579510689,0.09385087788363121,0.10723565073616251,0.21557719054242003,0.23711340206185566,0
3,BRCA,3,ReBoost,DESeq2,0.01,1,1249.0,1437.5,0.42006588349263446,0.42006588349263446,0.4420520253299603,0.4420520253299603,0.8429870161968002,0.8429870161968002,0.8620300702443155,0.8620300702443155,0.28705257270693507,0.32955816554809847,0.21557719054242003,0.23844030365769497,0
4,BRCA,3,ReBoost,DESeq2,0.05,0,2084.5,2423.0,0.15032090543115523,0.15032090543115523,0.1640321502426789,0.1640321502426789,0.9502604580053495,0.9502604580053495,0.9587544567545256,0.9587544567545256,0.14502086631169953,0.16167793927183768,0.2458736482640865,0.2667460553736231,0
5,BRCA,3,ReBoost,DESeq2,0.05,1,2084.5,2423.0,0.46980551700108064,0.46980551700108064,0.4877054276162115,0.4877054276162115,0.7565285078174696,0.7565285078174696,0.7455955891457002,0.7455955891457002,0.4180167597765363,0.4674581005586592,0.24611398963730569,0.26836622807017546,0
6,BRCA,3,ReBoost,DESeq2,0.1,0,2800.0,3114.0,0.15474916802391675,0.15474916802391675,0.16754136312461682,0.16754136312461682,0.9540063117061195,0.9540063117061195,0.9591503061447431,0.9591503061447431,0.1848057751804744,0.20199381230663457,0.260427807486631,0.28205980066445185,0
7,BRCA,3,ReBoost,DESeq2,0.1,1,2800.0,3091.5,0.4983937875793599,0.4983937875793599,0.5080349510717558,0.5080349510717558,0.6971827286547125,0.6971827286547125,0.6745286778588069,0.6745286778588069,0.4934357541899441,0.547486033519553,0.26372349695033404,0.286156567890314,0
8,BRCA,3,ReBoost,edgeR LRT,0.001,0,302.5,395.0,0.08743673432338187,0.08743673432338187,0.10452786873115036,0.10452786873115036,0.9549785076807338,0.9549785076807338,0.9644437420986094,0.9644437420986094,0.0255047821466525,0.0328551186680836,0.09624413145539906,0.1060480530240265,0
9,BRCA,3,ReBoost,edgeR LRT,0.001,1,302.5,395.0,0.2454979647166478,0.2454979647166478,0.27272195955847645,0.27272195955847645,0.9183500166042032,0.9183500166042032,0.9404304029304029,0.9404304029304029,0.07922187764307866,0.10177614885819002,0.09624413145539906,0.1060480530240265,0
10,BRCA,3,ReBoost,edgeR LRT,0.01,0,709.5,878.5,0.1091582030638768,0.1091582030638768,0.13163718409502362,0.13163718409502362,0.9614589208497838,0.9614589208497838,0.9684207116284242,0.9684207116284242,0.05216124714589403,0.06625462562002993,0.1378640776699029,0.1521472392638037,0
11,BRCA,3,ReBoost,edgeR LRT,0.01,1,709.5,878.5,0.3322398101089906,0.3322398101089906,0.3706271516412697,0.3706271516412697,0.8863861917474767,0.8863861917474767,0.8904557256692631,0.8904557256692631,0.16261185682326623,0.21854026845637584,0.1378640776699029,0.1521472392638037,0
12,BRCA,3,ReBoost,edgeR LRT,0.05,0,1405.0,1653.5,0.13117490496738538,0.13117490496738538,0.14145557605152978,0.14145557605152978,0.9635620336534314,0.9635620336534314,0.972555493591982,0.972555493591982,0.09566124622247806,0.11433299755360483,0.17703349282296652,0.19273127753303965,0
13,BRCA,3,ReBoost,edgeR LRT,0.05,1,1405.0,1653.5,0.3962884448709647,0.3962884448709647,0.43188473501502356,0.43188473501502356,0.8015743110529135,0.8015743110529135,0.8042227038330483,0.8042227038330483,0.29916201117318436,0.37011173184357543,0.17747025977178926,0.19310086239220098,0
14,BRCA,3,ReBoost,edgeR LRT,0.1,0,1930.5,2288.0,0.13220867482477583,0.13220867482477583,0.15093669058649023,0.15093669058649023,0.9630685717521739,0.9630685717521739,0.9706307929034999,0.9706307929034999,0.12701959436232382,0.15283602612581643,0.20065520065520065,0.2129032258064516,0
15,BRCA,3,ReBoost,edgeR LRT,0.1,1,1930.5,2288.0,0.4333708581499954,0.4333708581499954,0.4509536958572442,0.4509536958572442,0.7505078602194324,0.7505078602194324,0.7392825778558401,0.7392825778558401,0.3803072625698324,0.4520949720670391,0.2014755959137344,0.2159056546719081,0
16,BRCA,3,ReBoost,edgerqlf,0.001,0,0.0,0.0,0.05195147571368047,0.0,0.0,0.02012489486192955,0.8956043956043955,0.0,0.0,0.9134615384615384,0.0,0.0,0.0,0.0,0
17,BRCA,3,ReBoost,edgerqlf,0.001,1,0.0,0.0,0.13925185834549558,0.0,0.0,0.06378769235848959,0.8809523809523809,0.0,0.0,0.8894230769230769,0.0,0.0,0.0,0.0,0
18,BRCA,3,ReBoost,edgerqlf,0.01,0,0.0,0.0,0.05627981990341366,0.0,0.0,0.035459735829501855,0.897023506449423,0.0,0.0,0.9794170564951421,0.0,0.0,0.0,0.0,0
19,BRCA,3,ReBoost,edgerqlf,0.01,1,0.0,0.0,0.19407595844843709,0.0,0.0,0.11940048919786378,0.8306451612903226,0.0,0.0,0.9626124505217704,0.0,0.0,0.0,0.0,0
20,BRCA,3,ReBoost,edgerqlf,0.05,0,65.0,0.0,0.0875580543579868,0.028679195915245176,0.0,0.08498053693945544,0.9465179006404544,0.8664346968070469,0.0,0.9846459710644822,0.004533026334724421,0.0,0.0,0.0,0
21,BRCA,3,ReBoost,edgerqlf,0.05,1,65.0,0.0,0.3089405331313292,0.10993772756191368,0.0,0.2584497042016488,0.8381539235412475,0.5738407940385466,0.0,0.9298109355583171,0.016899441340782122,0.0,0.0,0.0,0
22,BRCA,3,ReBoost,edgerqlf,0.1,0,380.0,147.0,0.09584819026826992,0.06099336589844891,0.04137516663231577,0.1094976896132616,0.9653465346534653,0.9317573565457027,0.9658193347424631,0.9770742358078602,0.024510140941904436,0.009934685458920591,0.0,0.0,0
23,BRCA,3,ReBoost,edgerqlf,0.1,1,380.0,147.0,0.36326634383822476,0.2425645934698375,0.15889181644829714,0.3719243888875386,0.7937384898710865,0.7299627356814289,0.6709504561746904,0.8765315739868049,0.09050279329608939,0.03868715083798883,0.0,0.0,0
24,BRCA,3,ReBoost,Wilcoxon rank-sum,0.001,0,,,,,,,,,,,,,,,0
25,BRCA,3,ReBoost,Wilcoxon rank-sum,0.001,1,,,,,,,,,,,,,,,0
26,BRCA,3,ReBoost,Wilcoxon rank-sum,0.01,0,,,,,,,,,,,,,,,0
27,BRCA,3,ReBoost,Wilcoxon rank-sum,0.01,1,,,,,,,,,,,,,,,0
28,BRCA,3,ReBoost,Wilcoxon rank-sum,0.05,0,,,,,,,,,,,,,,,0
29,BRCA,3,ReBoost,Wilcoxon rank-sum,0.05,1,,,,,,,,,,,,,,,0
30,BRCA,3,ReBoost,Wilcoxon rank-sum,0.1,0,,,,,,,,,,,,,,,0
31,BRCA,3,ReBoost,Wilcoxon rank-sum,0.1,1,,,,,,,,,,,,,,,0
32,BRCA,3,None,DESeq2,0.001,0,757.5,757.5,0.14350199295581734,0.14350199295581734,0.14350199295581734,0.14350199295581734,0.9519535602381084,0.9519535602381084,0.9519535602381084,0.9519535602381084,0.06376195536663123,0.06376195536663123,0.19799467256370307,0.19799467256370307,0
33,BRCA,3,None,DESeq2,0.001,1,757.5,757.5,0.37690317702948545,0.37690317702948545,0.37690317702948545,0.37690317702948545,0.9118007282356835,0.9118007282356835,0.9118007282356835,0.9118007282356835,0.19805469410769666,0.19805469410769666,0.19799467256370307,0.19799467256370307,0
34,BRCA,3,None,DESeq2,0.01,0,1353.5,1353.5,0.1555188677348177,0.1555188677348177,0.1555188677348177,0.1555188677348177,0.9531140297226965,0.9531140297226965,0.9531140297226965,0.9531140297226965,0.09888985119281946,0.09888985119281946,0.23856184498593322,0.23856184498593322,0
35,BRCA,3,None,DESeq2,0.01,1,1353.5,1353.5,0.44150955588919427,0.44150955588919427,0.44150955588919427,0.44150955588919427,0.851347984579476,0.851347984579476,0.851347984579476,0.851347984579476,0.30676733780760623,0.30676733780760623,0.2385687797986933,0.2385687797986933,0
36,BRCA,3,None,DESeq2,0.05,0,2294.5,2294.5,0.16528042787083286,0.16528042787083286,0.16528042787083286,0.16528042787083286,0.9551795459685676,0.9551795459685676,0.9551795459685676,0.9551795459685676,0.1517844294143042,0.1517844294143042,0.2696155241998859,0.2696155241998859,0
37,BRCA,3,None,DESeq2,0.05,1,2161.0,2161.0,0.4970088310300592,0.4970088310300592,0.4970088310300592,0.4970088310300592,0.7539015423939666,0.7539015423939666,0.7539015423939666,0.7539015423939666,0.44972067039106145,0.44972067039106145,0.270565643890318,0.270565643890318,0
38,BRCA,3,None,DESeq2,0.1,0,2998.5,2998.5,0.16836959288788478,0.16836959288788478,0.16836959288788478,0.16836959288788478,0.9570948004679162,0.9570948004679162,0.9570948004679162,0.9570948004679162,0.1910622206943967,0.1910622206943967,0.2867600827327252,0.2867600827327252,0
39,BRCA,3,None,DESeq2,0.1,1,2858.0,2858.0,0.5205987329364548,0.5205987329364548,0.5205987329364548,0.5205987329364548,0.6845972238007698,0.6845972238007698,0.6845972238007698,0.6845972238007698,0.5261173184357542,0.5261173184357542,0.2894418526468012,0.2894418526468012,0
40,BRCA,3,None,edgeR LRT,0.001,0,371.5,371.5,0.10080523183908838,0.10080523183908838,0.10080523183908838,0.10080523183908838,0.9632231404958678,0.9632231404958678,0.9632231404958678,0.9632231404958678,0.03174814027630181,0.03174814027630181,0.10469286977411499,0.10469286977411499,0
41,BRCA,3,None,edgeR LRT,0.001,1,371.5,371.5,0.2628578425787223,0.2628578425787223,0.2628578425787223,0.2628578425787223,0.9327859836580767,0.9327859836580767,0.9327859836580767,0.9327859836580767,0.09557372427403439,0.09557372427403439,0.10469286977411499,0.10469286977411499,0
42,BRCA,3,None,edgeR LRT,0.01,0,754.0,754.0,0.12314681664130839,0.12314681664130839,0.12314681664130839,0.12314681664130839,0.9666292168197657,0.9666292168197657,0.9666292168197657,0.9666292168197657,0.055586174316982914,0.055586174316982914,0.15663603782217478,0.15663603782217478,0
43,BRCA,3,None,edgeR LRT,0.01,1,754.0,754.0,0.35298458264476706,0.35298458264476706,0.35298458264476706,0.35298458264476706,0.8978820935607301,0.8978820935607301,0.8978820935607301,0.8978820935607301,0.18120805369127516,0.18120805369127516,0.15663603782217478,0.15663603782217478,0
44,BRCA,3,None,edgeR LRT,0.05,0,1493.5,1493.5,0.14276576053649204,0.14276576053649204,0.14276576053649204,0.14276576053649204,0.966497283278299,0.966497283278299,0.966497283278299,0.966497283278299,0.10415167650021587,0.10415167650021587,0.20071983106396446,0.20071983106396446,0
45,BRCA,3,None,edgeR LRT,0.05,1,1493.5,1493.5,0.4375828991124447,0.4375828991124447,0.4375828991124447,0.4375828991124447,0.8101352530602921,0.8101352530602921,0.8101352530602921,0.8101352530602921,0.31606145251396645,0.31606145251396645,0.20095858250615603,0.20095858250615603,0
46,BRCA,3,None,edgeR LRT,0.1,0,2031.5,2031.5,0.14847718204071986,0.14847718204071986,0.14847718204071986,0.14847718204071986,0.9682384121870833,0.9682384121870833,0.9682384121870833,0.9682384121870833,0.13337916809900308,0.13337916809900308,0.22250885417569558,0.22250885417569558,0
47,BRCA,3,None,edgeR LRT,0.1,1,2002.0,2002.0,0.46820212663719407,0.46820212663719407,0.46820212663719407,0.46820212663719407,0.7403827363199527,0.7403827363199527,0.7403827363199527,0.7403827363199527,0.3952513966480447,0.3952513966480447,0.2235207399660018,0.2235207399660018,0
48,BRCA,3,None,edgerqlf,0.001,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
49,BRCA,3,None,edgerqlf,0.001,1,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
50,BRCA,3,None,edgerqlf,0.01,0,0.0,0.0,0.016339227668107404,0.0,0.0,0.016339227668107404,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
51,BRCA,3,None,edgerqlf,0.01,1,0.0,0.0,0.0487514383870718,0.0,0.0,0.0487514383870718,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
52,BRCA,3,None,edgerqlf,0.05,0,0.0,0.0,0.06231322424353558,0.0,0.0,0.06231322424353558,0.9898785425101214,0.0,0.0,0.9898785425101214,0.0,0.0,0.0,0.0,0
53,BRCA,3,None,edgerqlf,0.05,1,0.0,0.0,0.21567046181421493,0.0,0.0,0.21567046181421493,0.965625,0.0,0.0,0.965625,0.0,0.0,0.0,0.0,0
54,BRCA,3,None,edgerqlf,0.1,0,26.5,26.5,0.09481403136988706,0.019038531456708356,0.019038531456708356,0.09481403136988706,0.9857586432933257,0.9714621764262377,0.9714621764262377,0.9857586432933257,0.0018219319353729804,0.0018219319353729804,0.0,0.0,0
55,BRCA,3,None,edgerqlf,0.1,1,26.5,26.5,0.3386346787379766,0.0728685570776207,0.0728685570776207,0.3386346787379766,0.8839948435035351,0.7596855575868373,0.7596855575868373,0.8839948435035351,0.007402234636871508,0.007402234636871508,0.0,0.0,0
56,BRCA,3,None,Wilcoxon rank-sum,0.001,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
57,BRCA,3,None,Wilcoxon rank-sum,0.001,1,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
58,BRCA,3,None,Wilcoxon rank-sum,0.01,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
59,BRCA,3,None,Wilcoxon rank-sum,0.01,1,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
60,BRCA,3,None,Wilcoxon rank-sum,0.05,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
61,BRCA,3,None,Wilcoxon rank-sum,0.05,1,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
62,BRCA,3,None,Wilcoxon rank-sum,0.1,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
63,BRCA,3,None,Wilcoxon rank-sum,0.1,1,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0
64,BRCA,3,rPCA,DESeq2,0.001,0,656.0,754.0,0.12820159609709875,0.12820159609709875,0.1399590009761537,0.1399590009761537,0.9342291418968736,0.9342291418968736,0.9444830020464172,0.9444830020464172,0.05588026921714488,0.06354055968827488,0.17882689556509299,0.1994840928632846,0
65,BRCA,3,rPCA,DESeq2,0.001,1,656.0,754.0,0.3455056017284901,0.3455056017284901,0.3660805819002163,0.3660805819002163,0.9028720729215779,0.9028720729215779,0.8999725070124518,0.8999725070124518,0.16873414152805188,0.19255709049901326,0.17882689556509299,0.1994840928632846,0
