,Data,N,Out,DEA,FDR,logFC,median_deg,median_deg_method,median_mcc,median_mcc0,median_mcc0_method,median_mcc_method,median_prec,median_prec0,median_prec0_method,median_prec_method,median_rec,median_rec_method,median_rep,median_rep_method,id,lfc_mode,isSynthetic
0,BRCA,3,None,DESeq2 Wald,0.05,0,2294.5,2294.5,0.1652804278708328,0.1652804278708328,0.1533133346897709,0.1533133346897709,0.9551795459685676,0.9551795459685676,0.9701847377634906,0.9701847377634906,0.1517844294143042,0.1456211812627291,0.2696155241998859,0.2696155241998859,0,post_hoc,False
1,BRCA,3,None,DESeq2 Wald,0.05,1,2161.0,2161.0,0.4970088310300592,0.4970088310300592,0.4902054371875001,0.4902054371875001,0.7539015423939666,0.7539015423939666,0.7655574354548278,0.7655574354548278,0.4497206703910614,0.4356818788364024,0.270565643890318,0.270565643890318,0,post_hoc,False
2,BRCA,3,None,edgeR LRT,0.05,0,1493.5,1493.5,0.142765760536492,0.142765760536492,0.1291312655582215,0.1291312655582215,0.966497283278299,0.966497283278299,0.9718903134583128,0.9718903134583128,0.1041516765002158,0.1006551724137931,0.2007198310639644,0.2007198310639644,0,post_hoc,False
3,BRCA,3,None,edgeR LRT,0.05,1,1493.5,1493.5,0.4375828991124447,0.4375828991124447,0.430548076989624,0.430548076989624,0.8101352530602921,0.8101352530602921,0.8219526997656652,0.8219526997656652,0.3160614525139664,0.3088512241054614,0.200958582506156,0.200958582506156,0,post_hoc,False
4,BRCA,3,None,edgeR QLF,0.05,0,0.0,0.0,0.0623132242435355,0.0,0.0,0.0587144180974651,0.9898785425101214,0.0,0.0,0.9898785425101214,0.0,0.0,0.0,0.0,0,post_hoc,False
5,BRCA,3,None,edgeR QLF,0.05,1,0.0,0.0,0.2156704618142149,0.0,0.0,0.2110090103628142,0.965625,0.0,0.0,0.9661016949152542,0.0,0.0,0.0,0.0,0,post_hoc,False
6,BRCA,4,None,DESeq2 Wald,0.05,0,3021.5,3021.5,0.2095979638662855,0.2095979638662855,0.1898701968365577,0.1898701968365577,0.9621085193298208,0.9621085193298208,0.9754284616963652,0.9754284616963652,0.2084832349978414,0.1995247793618466,0.312341964311859,0.312341964311859,1,post_hoc,False
7,BRCA,4,None,DESeq2 Wald,0.05,1,2890.5,2890.5,0.5496071476951402,0.5496071476951402,0.549195259225947,0.549195259225947,0.717210199535523,0.717210199535523,0.7301132757581844,0.7301132757581844,0.5646648044692737,0.5492393915132106,0.3217278392680511,0.3217278392680511,1,post_hoc,False
8,BRCA,4,None,edgeR LRT,0.05,0,2070.5,2070.5,0.1738520700324395,0.1738520700324395,0.1620678139358752,0.1620678139358752,0.9739439223588156,0.9739439223588156,0.9796137792406774,0.9796137792406774,0.1438336451287955,0.1388620689655172,0.2645763297875648,0.2645763297875648,1,post_hoc,False
9,BRCA,4,None,edgeR LRT,0.05,1,2064.5,2064.5,0.5026695940813574,0.5026695940813574,0.499706969725681,0.499706969725681,0.7815251367813885,0.7815251367813885,0.7933505100484002,0.7933505100484002,0.4153631284916201,0.407183212267958,0.2675874859970131,0.2675874859970131,1,post_hoc,False
10,BRCA,4,None,edgeR QLF,0.05,0,99.0,99.0,0.1061108761295112,0.0404113612569747,0.0378495445131358,0.0998606205623756,0.9916839916839916,0.985503370526276,0.985503370526276,0.9916839916839916,0.0070153978989782,0.0068115132038563,0.0,0.0,1,post_hoc,False
11,BRCA,4,None,edgeR QLF,0.05,1,99.0,99.0,0.3207477484525828,0.1430618526766204,0.1399216237683046,0.3153258027305505,0.9198664440734556,0.8202040992421515,0.8284312586008108,0.9215358931552587,0.0266759776536312,0.0257551240560949,0.0,0.0,1,post_hoc,False
12,BRCA,5,None,DESeq2 Wald,0.05,0,3732.5,3732.5,0.2443288317645536,0.2443288317645536,0.2229842794182647,0.2229842794182647,0.9654921111431742,0.9654921111431742,0.9770282006369142,0.9770282006369142,0.2559001295150381,0.2446028513238289,0.3529473154321215,0.3529473154321215,2,post_hoc,False
