"","logFC","logCPM","F","PValue","FDR"
"ENSG00000178162",-1.36262226963775,1.26405063126913,88.1827402611523,2.08261842501373e-13,2.6243207706689e-12
"ENSG00000118369",0.657975847609199,3.60375799439841,88.1787109986641,2.08434150074036e-13,2.62474685196221e-12
"ENSG00000160055",0.675802156308175,4.20111644255746,88.1073761249532,2.11509231022319e-13,2.66170182359561e-12
"ENSG00000121988",-0.502162950145914,2.63475291295539,88.0970225701216,2.11959429351483e-13,2.66559728272682e-12
"ENSG00000188290",1.75519177863715,2.36034022592686,88.0851015164818,2.124790131295e-13,2.67035958675749e-12
"ENSG00000233110",-2.39890271056896,0.918137070554285,88.0407398043643,2.14424126446495e-13,2.69301924745791e-12
"ENSG00000162688",-0.608291588025371,5.07961579707018,88.0057960810926,2.15969243107903e-13,2.70982028629222e-12
"ENSG00000105131",1.97153551376571,-0.0991873924880922,88.0040257282558,2.16047828861732e-13,2.70982028629222e-12
"ENSG00000180776",0.556676157946285,6.07185708120322,87.9865305094495,2.16826030363301e-13,2.71778235942148e-12
"ENSG00000185250",-0.748565414701066,3.63537213065013,87.9563996205988,2.1817307405855e-13,2.73285928589402e-12
"ENSG00000173376",-2.25384895861542,0.189999492998937,87.9398287882745,2.18917579354979e-13,2.7403738203009e-12
"ENSG00000155363",0.541877281981758,5.38507921960324,87.8957660661183,2.20910057773727e-13,2.76349004285655e-12
"ENSG00000064651",0.812262041561444,5.20698017739547,87.8897020170157,2.2118573222865e-13,2.76511345461568e-12
"ENSG00000186352",-1.14194635644379,3.10263618783511,87.8630032180555,2.22403706686782e-13,2.77850695394061e-12
"ENSG00000137124",-1.12562906181984,5.03125871889862,87.8504222296687,2.22980040119063e-13,2.78387201603194e-12
"ENSG00000267480",-1.19478899123349,-0.0761412408639066,87.842657905413,2.23336492747761e-13,2.78648664289372e-12
"ENSG00000178568",-1.95659955789769,3.36871517864477,87.8060054926294,2.2502713773863e-13,2.80481405874486e-12
"ENSG00000065154",-0.625717643693504,6.27962472640144,87.8044015382852,2.25101423773266e-13,2.80481405874486e-12
"ENSG00000132024",0.517757765021533,5.54082176046257,87.7782592786483,2.26315763422361e-13,2.81809221312785e-12
"ENSG00000169193",-0.741094121068041,3.36456860107364,87.7740568103326,2.26511603862542e-13,2.81867886828818e-12
"ENSG00000102109",4.00070494367914,3.82060053087795,87.763015910073,2.27026958938353e-13,2.8232381402885e-12
"ENSG00000118690",-0.614357679729153,1.80737890463376,87.7397162643924,2.28118494742376e-13,2.83495194252952e-12
"ENSG00000166821",-0.769346610207675,3.95029436716437,87.7075681757588,2.29633471087036e-13,2.85190926870348e-12
"ENSG00000168140",1.40478815901976,6.5120713104905,87.6913124816406,2.3040347361615e-13,2.85959831825361e-12
"ENSG00000143458",-0.512923900371579,4.39257195128445,87.6331356711639,2.3318113437975e-13,2.89217857249019e-12
"ENSG00000134548",-3.0030381723678,4.56359953648633,87.6138602784327,2.3410905430481e-13,2.90178861817185e-12
"ENSG00000066583",0.513293575645175,4.65851211547619,87.6064849797929,2.3446511075327e-13,2.904302469932e-12
"ENSG00000238197",-0.84408975000805,1.80425299887365,87.5716028926317,2.36156707264768e-13,2.92334547098752e-12
"ENSG00000135316",-0.399639294845311,7.63278844069424,87.551399645836,2.37142220618544e-13,2.93362882843515e-12
"ENSG00000272914",-0.789514181182306,-0.416927531940591,87.5279953354843,2.38289197105941e-13,2.94589488816164e-12
"ENSG00000105707",1.8251806156881,6.03819688768963,87.4454964492545,2.42378150944589e-13,2.99449199263485e-12
"ENSG00000224616",-0.748581208949664,0.43714977611641,87.3950398379331,2.44914639912976e-13,3.0238581469907e-12
"ENSG00000102007",1.29380887036617,5.82325465507981,87.3501717348886,2.47193230954797e-13,3.05000397985372e-12
"ENSG00000175220",0.448019164054245,6.91760898322727,87.3400270850193,2.47711448686129e-13,3.05440948308361e-12
"ENSG00000246223",-1.57742280381103,1.40243849013541,87.3356051007091,2.47937687507742e-13,3.05521134827486e-12
"ENSG00000080854",-1.35964035994903,2.31961115063098,87.2747413096485,2.51073404348227e-13,3.09184090916673e-12
"ENSG00000237125",-2.56094527255539,-0.316693564430029,87.2646018457862,2.51599761113444e-13,3.09631082637791e-12
"ENSG00000114757",-1.45903641847105,-1.15489859420124,87.2564132387941,2.52025677851732e-13,3.09953967984816e-12
"ENSG00000231769",-1.10893144254997,-0.0245554319272732,87.1845682352863,2.55794674221562e-13,3.14385257188524e-12
"ENSG00000260711",-1.51162284748082,1.38453950493306,87.1654569442884,2.56807029167369e-13,3.15424939519117e-12
"ENSG00000280022",1.15951031973154,-0.549505097634822,87.1382517433124,2.58255278327389e-13,3.16998318319992e-12
"ENSG00000132382",0.510305501298096,5.60143010124698,87.0795500026507,2.61409048671753e-13,3.20661766370684e-12
"ENSG00000104112",-2.33771640768374,-0.281597034665151,87.058468740735,2.62551336412339e-13,3.2185465250237e-12
"ENSG00000130021",0.421998510993871,4.30018569465022,87.0322082669067,2.63981478172209e-13,3.23398640873931e-12
"ENSG00000103507",0.483775123549123,5.46863123854121,87.0226762527721,2.64502579615119e-13,3.23827705999078e-12
"ENSG00000112208",-0.702174757874368,3.85352252984961,86.9962557671295,2.65952513258272e-13,3.25392642431941e-12
"ENSG00000163827",-1.28362426053321,5.57889095291831,86.8428500543203,2.74535146129888e-13,3.35676779964751e-12
"ENSG00000198829",-2.01952920160053,3.40016285830419,86.8311415356617,2.75201852126826e-13,3.36169117027529e-12
"ENSG00000235159",-0.884452331442626,-0.131198648903077,86.8295507213795,2.75292565231493e-13,3.36169117027529e-12
"ENSG00000116273",0.690427283476461,4.73868951833756,86.8087681867648,2.7648049175685e-13,3.37402336109196e-12
"ENSG00000177182",-1.78594639172411,-0.926430363480228,86.7768129328671,2.78317393702512e-13,3.39425434070143e-12
"ENSG00000115966",-0.419580903104086,6.00388755475128,86.7397576117699,2.80463266726133e-13,3.41822497170011e-12
"ENSG00000059378",0.638374460827528,4.9940158946685,86.723156728501,2.81430162324418e-13,3.42780490769432e-12
"ENSG00000160213",0.780230329530902,7.32885986828446,86.6722178734382,2.84418584257037e-13,3.46161328036855e-12
"ENSG00000188766",1.25182047433656,1.40328232802452,86.66963124383,2.84571205720463e-13,3.46161328036855e-12
"ENSG00000137842",0.439865465936713,4.3846035830084,86.6566378689414,2.85339148024706e-13,3.46872837290842e-12
"ENSG00000107864",-0.907216976938476,4.14920097134781,86.6094487334952,2.88146208426476e-13,3.49567178823266e-12
"ENSG00000169439",-1.04305948423219,9.12043185919543,86.6089688429967,2.8817490098436e-13,3.49567178823266e-12
"ENSG00000102858",0.566051922306302,6.64875496335983,86.607099668821,2.88286686687602e-13,3.49567178823266e-12
"ENSG00000176018",-0.766439426269414,5.07957809904846,86.6069887725717,2.88293320230458e-13,3.49567178823266e-12
"ENSG00000105520",0.737059157244604,4.37785341847838,86.6011419405888,2.88643286931705e-13,3.49767747693713e-12
"ENSG00000152642",-0.806401242192518,6.38149131234353,86.58973319732,2.89327430853999e-13,3.50372745657827e-12
"ENSG00000121297",-1.03341080950464,4.67010431820871,86.5692300166949,2.9056115253926e-13,3.51642079369352e-12
"ENSG00000136935",-0.443020765685889,4.58152844005056,86.5609564033145,2.910605324574e-13,3.52021647168643e-12
"ENSG00000163848",-0.550615388363953,6.41902234495171,86.52664279222,2.93141124084601e-13,3.54311899467561e-12
"ENSG00000183621",-0.460087458430697,4.43034142842406,86.5189549973473,2.93609374170341e-13,3.54651680004863e-12
"ENSG00000167695",0.796998533029175,3.87464947651978,86.4752738758492,2.96284627029459e-13,3.57655175252376e-12
"ENSG00000006704",0.893604124723596,5.85891451740589,86.4698273905547,2.96619959134773e-13,3.57813751284047e-12
"ENSG00000203722",1.83081995444913,0.770189422743759,86.467009721857,2.96793592770432e-13,3.57813751284047e-12
"ENSG00000188596",-1.63394884137965,1.30663964984886,86.3837076070857,3.01974671456648e-13,3.63828606067793e-12
"ENSG00000165929",-1.18109485400914,4.92091044455489,86.3707002496958,3.02792077897846e-13,3.64581668381192e-12
"ENSG00000102743",-1.78996267749162,4.40603813421511,86.3314787750598,3.05270698175479e-13,3.67241487130693e-12
"ENSG00000175920",3.05946446064408,3.11161745865848,86.3296204087669,3.05388657512649e-13,3.67241487130693e-12
"ENSG00000125798",-3.35005460127722,3.2093154667861,86.3136346967879,3.0640529392601e-13,3.68230382402393e-12
"ENSG00000162576",2.0997313163739,7.47223247809437,86.3088213000557,3.06712094037863e-13,3.68365501026969e-12
"ENSG00000127022",-0.599827934653329,9.96375885618793,86.2827804946944,3.08377416948183e-13,3.70015081806284e-12
"ENSG00000182199",0.801032961512743,5.47939070131413,86.2812425635013,3.08476060180418e-13,3.70015081806284e-12
"ENSG00000205038",-4.95494118671783,7.39291564108271,86.2685389632476,3.09292119927238e-13,3.70759282533903e-12
"ENSG00000134107",1.76705039837331,8.05271691712932,86.1551845463032,3.16673349942773e-13,3.79367467011089e-12
"ENSG00000166839",-0.803213543408172,3.38156162825835,86.1342700927995,3.18054994717797e-13,3.80781949456203e-12
"ENSG00000005007",0.390218017750347,7.19295333745575,86.0843342661865,3.21379092276063e-13,3.84518722021209e-12
"ENSG00000198960",0.919390665790555,4.35398600111301,86.0698712755826,3.22348545429235e-13,3.85435308074124e-12
"ENSG00000131584",0.513712417642799,4.58273956103059,86.0459660224467,3.23957543591016e-13,3.87038909578648e-12
"ENSG00000146197",-1.80706140648041,6.84398833824722,86.0438833365643,3.24098116030664e-13,3.87038909578648e-12
"ENSG00000147255",4.12013052232934,7.99139023933167,86.0122629486737,3.26240118358796e-13,3.89351556872538e-12
"ENSG00000120256",0.648244422107281,6.07649179220185,85.9664691176598,3.29368214964724e-13,3.9283740780437e-12
"ENSG00000267724",-1.69594044282774,-1.32738035441188,85.8991350013821,3.34024091811446e-13,3.98139911195631e-12
"ENSG00000118156",-1.30091154044405,-0.106788423518018,85.846086761894,3.37740029418388e-13,4.02316092868465e-12
"ENSG00000260805",-1.11265636276624,2.20725588626425,85.8356341466035,3.38477241035797e-13,4.02940996991861e-12
"ENSG00000145949",-0.902130051907382,1.1905016382199,85.8154619293247,3.3990467067092e-13,4.04386272351242e-12
